Rank,Pokemon,USG%,Raw,Raw%,Real,Real%
1,Great Tusk,32.91750,632915,27.870,499694,27.846
2,Kingambit,22.47214,460462,20.276,307849,17.155
3,Gholdengo,21.87026,432497,19.045,332356,18.521
4,Dragonite,17.94655,367642,16.189,271120,15.109
5,Iron Valiant,15.27140,316622,13.942,230173,12.827
6,Raging Bolt,15.26657,279239,12.296,209920,11.698
7,Zamazenta,15.24913,263562,11.606,196176,10.932
8,Ogerpon-Wellspring,15.13743,283063,12.464,224189,12.493
9,Dragapult,14.64046,338751,14.917,262612,14.634
10,Hatterene,12.94381,243261,10.712,192700,10.738
11,Corviknight,12.82814,291051,12.816,235531,13.125
12,Slowking-Galar,12.52874,234175,10.312,196593,10.955
13,Gliscor,11.21054,285755,12.583,237274,13.222
14,Iron Treads,10.97626,197074,8.678,164064,9.143
15,Kyurem,10.55257,178613,7.865,143489,7.996
16,Samurott-Hisui,10.27146,194450,8.562,172514,9.614
17,Cinderace,10.02838,206741,9.104,163285,9.099
18,Ting-Lu,9.60853,163775,7.212,143263,7.984
19,Landorus-Therian,9.33559,185941,8.188,163706,9.123
20,Ceruledge,9.21463,215406,9.485,162308,9.045
21,Pecharunt,9.20167,163636,7.206,131893,7.350
22,Glimmora,9.00480,214263,9.435,188861,10.525
23,Iron Moth,8.93397,176918,7.790,134217,7.479
24,Alomomola,8.88490,173671,7.647,142337,7.932
25,Darkrai,8.13892,157917,6.954,121587,6.776
26,Walking Wake,7.32598,152546,6.717,122975,6.853
27,Rillaboom,7.28403,154567,6.806,125469,6.992
28,Zapdos,6.96384,144576,6.366,121663,6.780
29,Deoxys-Speed,6.32003,129127,5.686,110017,6.131
30,Garganacl,6.24465,152449,6.713,122522,6.828
31,Heatran,6.07458,130908,5.764,108940,6.071
32,Tyranitar,6.06294,141111,6.214,120216,6.699
33,Primarina,5.63962,123531,5.440,100053,5.576
34,Clefable,5.04885,114122,5.025,89924,5.011
35,Enamorus,4.82560,91410,4.025,70006,3.901
36,Moltres,4.72803,85567,3.768,71601,3.990
37,Pelipper,4.66968,111361,4.904,103186,5.750
38,Garchomp,4.56729,132992,5.856,108119,6.025
39,Tornadus-Therian,4.55735,82164,3.618,68974,3.844
