Rank,Pokemon,USG%,Raw,Raw%,Real,Real%
1,Great Tusk,33.72404,597172,28.870,470858,28.651
2,Kingambit,21.72432,402775,19.472,274426,16.698
3,Gholdengo,19.43222,370745,17.923,285119,17.349
4,Iron Valiant,16.76467,305845,14.786,222702,13.551
5,Dragonite,15.94143,306160,14.801,226399,13.776
6,Dragapult,15.56217,315749,15.265,246323,14.988
7,Ogerpon-Wellspring,15.23951,270005,13.053,214780,13.069
8,Raging Bolt,14.78913,253928,12.276,192200,11.695
9,Slowking-Galar,13.82224,241333,11.667,202697,12.334
10,Zamazenta,13.76133,227698,11.008,167284,10.179
11,Corviknight,12.23180,254349,12.296,208449,12.684
12,Hatterene,11.29859,204443,9.884,161420,9.822
13,Iron Treads,11.07222,186539,9.018,155724,9.475
14,Alomomola,10.87786,195440,9.448,162823,9.907
15,Pecharunt,10.82167,181286,8.764,148475,9.034
16,Cinderace,10.64756,199245,9.632,158546,9.647
17,Kyurem,10.62733,169231,8.181,135879,8.268
18,Samurott-Hisui,10.55960,186862,9.034,166771,10.148
19,Landorus-Therian,10.46431,190116,9.191,167879,10.215
20,Gliscor,9.79155,234656,11.344,196093,11.932
21,Ting-Lu,9.27825,151580,7.328,132195,8.044
22,Glimmora,9.01853,189401,9.156,166642,10.140
23,Ceruledge,8.35031,178171,8.614,134200,8.166
24,Rillaboom,8.32344,167324,8.089,136201,8.288
25,Darkrai,8.26471,152317,7.364,117948,7.177
26,Zapdos,7.67934,146285,7.072,123665,7.525
27,Iron Moth,7.45861,144989,7.009,110495,6.723
28,Walking Wake,7.15417,142418,6.885,114892,6.991
29,Tyranitar,6.99097,140539,6.794,121573,7.397
30,Garganacl,6.92432,152892,7.391,122984,7.483
31,Deoxys-Speed,6.65293,119270,5.766,101646,6.185
32,Primarina,6.05641,116299,5.622,95336,5.801
33,Tornadus-Therian,5.72204,95094,4.597,80396,4.892
34,Heatran,5.68028,118571,5.732,98426,5.989
35,Clefable,5.20623,109901,5.313,87045,5.297
36,Moltres,5.20200,89406,4.322,75310,4.582
37,Enamorus,5.19631,91316,4.415,70890,4.314
38,Scizor,5.17080,108058,5.224,87641,5.333
39,Pelipper,4.96209,100704,4.868,93691,5.701
40,Ogerpon,4.79165,72554,3.508,58111,3.536
41,Iron Crown,4.74768,77305,3.737,63184,3.845
42,Weezing-Galar,4.53374,84940,4.106,68755,4.184
43,Excadrill,4.46745,88042,4.256,70208,4.272
44,Garchomp,4.14036,111474,5.389,91158,5.547
45,Dondozo,3.74356,81831,3.956,58807,3.578
46,Meowscarada,3.70413,89135,4.309,72344,4.402
47,Torkoal,3.65124,82051,3.967,75120,4.571
48,Toxapex,3.40255,84277,4.074,68441,4.164
49,Hydrapple,3.31428,58587,2.832,46485,2.829
50,Clodsire,3.14238,70845,3.425,56380,3.431
51,Barraskewda,3.12992,56217,2.718,45432,2.764
52,Blissey,3.08785,63545,3.072,50204,3.055
53,Ninetales,3.00579,59088,2.857,53830,3.275
54,Ogerpon-Cornerstone,2.93478,48019,2.321,37408,2.276
55,Ursaluna,2.85056,60351,2.918,48203,2.933
56,Hoopa-Unbound,2.82418,50708,2.451,39931,2.430
57,Tinkaton,2.76366,50353,2.434,43813,2.666
58,Ninetales-Alola,2.61943,56567,2.735,50037,3.045
59,Volcanion,2.58369,45089,2.180,37292,2.269
60,Araquanid,2.53703,48655,2.352,44879,2.731
