Rank,Pokemon,USG%,Raw,Raw%,Real,Real%
1,Great Tusk,33.93349,602878,28.684,479220,28.641
2,Kingambit,21.24656,395060,18.796,271084,16.201
3,Gholdengo,20.40622,390795,18.593,300632,17.967
4,Ogerpon-Wellspring,16.12272,285491,13.583,227617,13.604
5,Dragonite,16.09444,308618,14.683,228337,13.647
6,Iron Valiant,15.64690,288431,13.723,210288,12.568
7,Dragapult,15.38010,314389,14.958,246596,14.738
8,Zamazenta,14.48121,236663,11.260,174938,10.455
9,Slowking-Galar,14.33353,253266,12.050,212627,12.708
10,Raging Bolt,13.70169,241891,11.509,182398,10.901
11,Corviknight,12.08926,253415,12.057,208898,12.485
12,Alomomola,10.97000,198466,9.443,166100,9.927
13,Pecharunt,10.94363,181467,8.634,149198,8.917
14,Landorus-Therian,10.83201,200725,9.550,176860,10.570
15,Hatterene,10.75323,201892,9.606,159963,9.560
16,Samurott-Hisui,10.37531,186903,8.892,167275,9.997
17,Kyurem,10.37023,169943,8.086,136050,8.131
18,Glimmora,10.31817,215154,10.237,188112,11.242
19,Cinderace,10.23261,198684,9.453,157767,9.429
20,Iron Treads,9.96113,176827,8.413,147181,8.796
21,Gliscor,9.58296,234654,11.164,196923,11.769
22,Ting-Lu,9.39723,157451,7.491,137260,8.203
23,Darkrai,9.02250,164934,7.847,128162,7.660
24,Ceruledge,8.62896,187303,8.912,141625,8.464
25,Rillaboom,8.16015,161214,7.670,132225,7.902
26,Iron Moth,8.05127,151697,7.217,116056,6.936
27,Zapdos,7.71120,146608,6.975,124345,7.431
28,Tyranitar,7.57921,155014,7.375,134276,8.025
29,Garganacl,6.57025,150445,7.158,121958,7.289
30,Deoxys-Speed,6.50681,115844,5.512,98247,5.872
31,Primarina,6.34122,123883,5.894,102185,6.107
32,Walking Wake,6.26043,128893,6.132,103064,6.160
33,Scizor,5.71840,121367,5.774,98935,5.913
34,Heatran,5.50350,117058,5.569,97547,5.830
35,Moltres,5.37637,95031,4.521,79904,4.775
36,Enamorus,5.34238,94065,4.475,73360,4.384
37,Clefable,5.28211,113249,5.388,90062,5.383
38,Ogerpon,5.23310,79127,3.765,63501,3.795
39,Tornadus-Therian,5.14852,87285,4.153,74385,4.446
40,Excadrill,5.03065,100263,4.770,79450,4.748
41,Garchomp,4.58925,116628,5.549,95908,5.732
42,Iron Crown,4.56693,75794,3.606,62182,3.716
43,Weezing-Galar,4.43939,85767,4.081,69338,4.144
44,Dondozo,4.06073,86211,4.102,62560,3.739
45,Hydrapple,3.97319,70257,3.343,56143,3.355
46,Meowscarada,3.71664,92431,4.398,75405,4.507
47,Pelipper,3.70307,86074,4.095,79682,4.762
48,Toxapex,3.29567,88420,4.207,71620,4.280
49,Clodsire,3.27868,74342,3.537,59707,3.568
50,Araquanid,3.23090,60496,2.878,56130,3.355
51,Tinkaton,3.21045,56228,2.675,49371,2.951
52,Torkoal,3.01151,71952,3.423,65801,3.933
53,Hoopa-Unbound,2.98157,53578,2.549,42425,2.536
54,Ninetales,2.96451,58247,2.771,53141,3.176
55,Blissey,2.86764,59678,2.839,46982,2.808
56,Ursaluna,2.84210,61126,2.908,48247,2.883
57,Ninetales-Alola,2.71002,58424,2.780,51922,3.103
58,Volcanion,2.57333,44567,2.120,36943,2.208
59,Serperior,2.56976,67904,3.231,52534,3.140
60,Iron Hands,2.56327,49919,2.375,38933,2.327
61,Hydreigon,2.45452,46284,2.202,37721,2.254
62,Lokix,2.28946,50870,2.420,41693,2.492
63,Latios,2.21396,41057,1.953,32087,1.918
64,Ogerpon-Cornerstone,2.16523,36756,1.749,29381,1.756
65,Sinistcha,2.10797,40156,1.911,31804,1.901
66,Blaziken,2.10504,64614,3.074,48342,2.889
67,Weavile,2.08221,44913,2.137,35595,2.127
68,Barraskewda,2.01660,41450,1.972,33670,2.012
69,Cresselia,1.94652,32160,1.530,24980,1.493
70,Rotom-Wash,1.93927,54982,2.616,47560,2.842
71,Greninja,1.90633,58349,2.776,45631,2.727
72,Moltres-Galar,1.85671,34921,1.661,26488,1.583
73,Skeledirge,1.84716,49334,2.347,37731,2.255
74,Ribombee,1.81298,42591,2.026,39067,2.335
75,Grimmsnarl,1.66807,47504,2.260,41353,2.471
76,Skarmory,1.61834,35470,1.688,30693,1.834
77,Venusaur,1.55298,39661,1.887,31059,1.856
78,Keldeo,1.49183,25086,1.194,20582,1.230
79,Quaquaval,1.48836,43937,2.090,34793,2.079
80,Hawlucha,1.39808,27436,1.305,20566,1.229
81,Goodra-Hisui,1.22718,30126,1.433,24453,1.461
82,Slither Wing,1.20962,26289,1.251,21182,1.266
83,Thundurus-Therian,1.15945,25574,1.217,20529,1.227
84,Porygon2,1.08779,24188,1.151,20037,1.198
85,Latias,1.08714,22586,1.075,16740,1.000
86,Manaphy,1.07770,21031,1.001,16096,0.962
87,Arcanine-Hisui,1.06889,29216,1.390,22470,1.343
