Rank,Pokemon,USG%,Raw,Raw%,Real,Real%
1,Great Tusk,32.50063,433977,28.274,344671,28.136
2,Gholdengo,22.61467,306287,19.955,239416,19.544
3,Kingambit,21.26719,309032,20.134,212156,17.319
4,Iron Valiant,16.94811,229609,14.959,169087,13.803
5,Dragonite,16.13569,229723,14.967,170917,13.952
6,Zamazenta,15.53210,188041,12.251,142853,11.661
7,Ogerpon-Wellspring,15.24190,196810,12.822,157073,12.822
8,Raging Bolt,14.82067,183807,11.975,139831,11.415
9,Slowking-Galar,14.23462,182628,11.898,154752,12.633
10,Kyurem,13.05309,157082,10.234,129081,10.537
11,Cinderace,13.04954,176552,11.502,141191,11.526
12,Corviknight,12.48319,200642,13.072,163589,13.354
13,Hatterene,12.41475,163216,10.634,129331,10.557
14,Gliscor,12.31809,205490,13.388,172808,14.107
15,Dragapult,12.20230,202814,13.213,158255,12.919
16,Alomomola,11.71143,155418,10.126,131157,10.707
17,Iron Treads,11.09777,134093,8.736,111099,9.069
18,Samurott-Hisui,10.71565,140667,9.164,125347,10.232
19,Ting-Lu,9.95168,122938,8.009,106776,8.716
20,Landorus-Therian,9.92373,131303,8.554,115981,9.468
21,Darkrai,9.67493,127538,8.309,100498,8.204
22,Pecharunt,8.55471,110364,7.190,90015,7.348
23,Ceruledge,7.94824,128364,8.363,98554,8.045
24,Walking Wake,7.85038,107944,7.033,88209,7.201
25,Glimmora,7.82906,126715,8.256,113245,9.244
26,Zapdos,7.45730,102640,6.687,87296,7.126
27,Iron Moth,7.34491,103666,6.754,78146,6.379
28,Rillaboom,6.62901,97128,6.328,79074,6.455
29,Garganacl,5.65889,93779,6.110,75082,6.129
30,Deoxys-Speed,5.43710,76579,4.989,65964,5.385
31,Moltres,5.40466,67826,4.419,57564,4.699
32,Pelipper,5.33371,77302,5.036,71900,5.869
33,Tyranitar,5.30045,79761,5.196,68555,5.596
34,Tornadus-Therian,5.19140,62372,4.064,53967,4.405
35,Garchomp,5.09421,92541,6.029,76381,6.235
36,Heatran,4.97253,76117,4.959,62923,5.136
37,Clefable,4.76189,78349,5.104,62503,5.102
38,Primarina,4.75097,75754,4.935,61715,5.038
39,Iron Crown,4.64427,58096,3.785,46388,3.787
40,Scizor,4.59795,71817,4.679,58998,4.816
41,Weezing-Galar,4.57337,62982,4.103,51410,4.197
42,Dondozo,4.51491,69130,4.504,49845,4.069
43,Ogerpon,4.33977,53959,3.515,42320,3.455
44,Hoopa-Unbound,4.17989,52104,3.395,42116,3.438
45,Enamorus,4.06115,52896,3.446,41027,3.349
46,Meowscarada,3.82786,69732,4.543,56981,4.651
47,Excadrill,3.61600,52501,3.420,42168,3.442
48,Torkoal,3.57658,54253,3.535,49214,4.017
49,Toxapex,3.41317,62532,4.074,51087,4.170
50,Ninetales,3.27287,45822,2.985,42473,3.467
51,Clodsire,3.22319,53366,3.477,42190,3.444
52,Barraskewda,3.08589,40885,2.664,33512,2.736
53,Blissey,3.06173,48832,3.181,38025,3.104
54,Hydrapple,2.98112,38392,2.501,30587,2.497
55,Lokix,2.97725,41559,2.708,34495,2.816
56,Cresselia,2.78072,31330,2.041,24601,2.008
57,Ursaluna,2.70463,41228,2.686,33342,2.722
58,Ninetales-Alola,2.55015,38678,2.520,34377,2.806
59,Blaziken,2.48352,53976,3.517,40030,3.268
60,Sinistcha,2.46843,32722,2.132,25457,2.078
61,Weavile,2.28173,35856,2.336,28630,2.337
62,Araquanid,2.25956,30407,1.981,28031,2.288
63,Ribombee,2.18993,33679,2.194,31149,2.543
64,Greninja,2.11878,48426,3.155,38713,3.160
65,Regieleki,2.04838,34830,2.269,27771,2.267
66,Tinkaton,2.02023,29251,1.906,25547,2.085
67,Ogerpon-Cornerstone,1.90675,23187,1.511,18315,1.495
68,Volcanion,1.89610,25191,1.641,21229,1.733
69,Skarmory,1.88322,28933,1.885,25311,2.066
70,Slither Wing,1.88229,23446,1.528,19399,1.584
71,Rotom-Wash,1.86737,40661,2.649,34739,2.836
72,Keldeo,1.84859,22168,1.444,18182,1.484
73,Venusaur,1.83881,34532,2.250,26978,2.202
74,Hawlucha,1.81294,25981,1.693,19077,1.557
75,Iron Hands,1.81214,26744,1.742,21085,1.721
76,Latios,1.77441,26066,1.698,20436,1.668
77,Serperior,1.65380,36124,2.353,27930,2.280
78,Skeledirge,1.60488,31868,2.076,24600,2.008
79,Mandibuzz,1.59117,21138,1.377,17357,1.417
80,Grimmsnarl,1.56678,34158,2.225,29777,2.431
81,Overqwil,1.53477,18614,1.213,14860,1.213
82,Quaquaval,1.48850,31255,2.036,24699,2.016
83,Manaphy,1.46089,19316,1.258,15296,1.249
84,Latias,1.33424,18633,1.214,14276,1.165
85,Kommo-o,1.31642,23074,1.503,17299,1.412
86,Hydreigon,1.30622,22715,1.480,17747,1.449
87,Goodra-Hisui,1.15938,20224,1.318,16519,1.348
88,Maushold,1.11519,22072,1.438,16667,1.361
89,Arcanine-Hisui,1.04968,19483,1.269,15419,1.259
90,Talonflame,0.97322,17479,1.139,13616,1.111
91,Mimikyu,0.94052,22257,1.450,17089,1.395
92,Okidogi,0.92638,12955,0.844,10496,0.857
93,Gengar,0.91597,26991,1.758,20751,1.694
94,Moltres-Galar,0.87382,14378,0.937,10836,0.885
95,Zoroark-Hisui,0.83769,23174,1.510,9364,0.764
96,Iron Boulder,0.80618,12376,0.806,8810,0.719
97,Conkeldurr,0.74382,14567,0.949,11743,0.959
98,Zarude,0.71067,10479,0.683,8270,0.675
99,Cloyster,0.69610,16958,1.105,13118,1.071
100,Indeedee,0.67670,11111,0.724,9739,0.795
101,Pawmot,0.67506,12983,0.846,9571,0.781
102,Thundurus-Therian,0.65947,12426,0.810,9916,0.809
103,Azumarill,0.64048,14629,0.953,11837,0.966
104,Gardevoir,0.63306,14822,0.966,11065,0.903
105,Metagross,0.62581,20883,1.361,16390,1.338
106,Mamoswine,0.61615,12711,0.828,10201,0.833
107,Slowking,0.60809,10237,0.667,8509,0.695
108,Sandy Shocks,0.60321,9163,0.597,7494,0.612
109,Umbreon,0.59922,16477,1.073,12469,1.018
110,Kingdra,0.59343,11220,0.731,8757,0.715
111,Kleavor,0.58664,12197,0.795,10585,0.864
112,Mew,0.57953,13265,0.864,10475,0.855
113,Incineroar,0.57312,17156,1.118,14213,1.160
114,Polteageist,0.56584,12537,0.817,9361,0.764
115,Tentacruel,0.56267,11382,0.742,9323,0.761
116,Amoonguss,0.54879,10368,0.675,7915,0.646
117,Fezandipiti,0.54328,7918,0.516,6622,0.541
118,Ditto,0.53729,11100,0.723,7995,0.653
119,Magnezone,0.53381,10557,0.688,8286,0.676
120,Toxicroak,0.52508,7964,0.519,6367,0.520
121,Salamence,0.52337,13804,0.899,10442,0.852
122,Gyarados,0.49835,18549,1.208,14859,1.213
123,Armarouge,0.49671,9762,0.636,7425,0.606
124,Espeon,0.47368,14726,0.959,11768,0.961
125,Basculegion,0.47086,9726,0.634,7449,0.608
126,Enamorus-Therian,0.46754,6354,0.414,5144,0.420
127,Lilligant-Hisui,0.46547,9024,0.588,6900,0.563
128,Porygon2,0.46523,10516,0.685,8549,0.698
129,Comfey,0.46211,8384,0.546,6348,0.518
130,Chesnaught,0.45800,7910,0.515,6492,0.530
131,Charizard,0.45723,15580,1.015,11961,0.976
132,Haxorus,0.45106,12671,0.826,9233,0.754
133,Milotic,0.44719,15133,0.986,11719,0.957
134,Zapdos-Galar,0.44175,7299,0.476,5941,0.485
135,Gallade,0.43816,10227,0.666,7699,0.628
136,Crawdaunt,0.43504,8770,0.571,6828,0.557
137,Jirachi,0.42552,11006,0.717,8741,0.714
138,Iron Jugulis,0.41278,6197,0.404,4719,0.385
139,Whimsicott,0.41050,11590,0.755,9132,0.745
140,Muk-Alola,0.40254,8466,0.552,7130,0.582
141,Porygon-Z,0.39392,10414,0.678,8184,0.668
142,Empoleon,0.39370,9087,0.592,7355,0.600
143,Galvantula,0.39204,12891,0.840,11004,0.898
144,Blastoise,0.38659,12880,0.839,10015,0.818
145,Pincurchin,0.37892,6807,0.443,6334,0.517
146,Regidrago,0.35626,6937,0.452,5271,0.430
147,Hippowdon,0.35351,7323,0.477,6247,0.510
148,Sylveon,0.35022,10940,0.713,8143,0.665
149,Cetitan,0.34888,5903,0.385,4457,0.364
150,Swampert,0.33936,10863,0.708,8892,0.726
151,Krookodile,0.33830,9248,0.603,7519,0.614
152,Gastrodon,0.33125,9258,0.603,7603,0.621
153,Frosmoth,0.32904,6293,0.410,4764,0.389
154,Klefki,0.32851,5534,0.361,4899,0.400
155,Azelf,0.31654,4354,0.284,3696,0.302
156,Smeargle,0.31613,7766,0.506,6242,0.510
157,Quagsire,0.31507,7380,0.481,5796,0.473
158,Breloom,0.31357,8422,0.549,6357,0.519
159,Deoxys-Defense,0.31087,7421,0.483,5597,0.457
160,Jolteon,0.30589,9293,0.605,7065,0.577
161,Lucario,0.29764,12944,0.843,9605,0.784
162,Reuniclus,0.29684,6651,0.433,5114,0.417
163,Chandelure,0.28306,9614,0.626,7307,0.596
164,Donphan,0.28001,6063,0.395,4926,0.402
165,Diancie,0.27413,6195,0.404,4813,0.393
166,Toxtricity,0.27243,7937,0.517,6063,0.495
167,Houndstone,0.26656,3277,0.213,2701,0.220
168,Chansey,0.26381,6136,0.400,4681,0.382
169,Typhlosion-Hisui,0.25755,6147,0.400,4480,0.366
170,Golduck,0.25168,4467,0.291,3457,0.282
171,Forretress,0.25118,9408,0.613,8183,0.668
172,Suicune,0.24981,5218,0.340,3964,0.324
173,Mienshao,0.24770,6416,0.418,5094,0.416
174,Thundurus,0.24758,5069,0.330,4140,0.338
175,Salazzle,0.24586,7670,0.500,6020,0.491
176,Torterra,0.24331,8005,0.522,6307,0.515
177,Infernape,0.23673,9646,0.628,7249,0.592
178,Snorlax,0.23647,11332,0.738,8799,0.718
179,Wo-Chien,0.23064,3866,0.252,3108,0.254
180,Rotom-Heat,0.22893,5324,0.347,4416,0.360
181,Bisharp,0.22520,5547,0.361,4274,0.349
182,Slowbro,0.22011,5307,0.346,4312,0.352
183,Basculegion-F,0.21718,3645,0.237,2966,0.242
184,Noivern,0.21573,7243,0.472,5674,0.463
185,Sableye,0.21481,8418,0.548,6834,0.558
186,Entei,0.21314,3835,0.250,2986,0.244
187,Drifblim,0.21072,4364,0.284,3333,0.272
188,Grafaiai,0.21037,7748,0.505,6247,0.510
189,Glastrier,0.20733,3358,0.219,2527,0.206
