Rank,Pokemon,USG%,Raw,Raw%,Real,Real%
1,Great Tusk,34.01512,748756,29.041,592420,28.937
2,Kingambit,21.50913,497455,19.294,337329,16.477
3,Gholdengo,20.95801,486394,18.865,375328,18.333
4,Dragonite,16.85783,403899,15.666,298864,14.598
5,Iron Valiant,15.30241,356429,13.825,257083,12.558
6,Ogerpon-Wellspring,14.79659,324399,12.582,257665,12.586
7,Dragapult,14.73718,382254,14.826,297269,14.520
8,Raging Bolt,14.61613,311532,12.083,235518,11.504
9,Zamazenta,13.94124,284364,11.029,209859,10.251
10,Slowking-Galar,13.27264,286372,11.107,239726,11.710
11,Corviknight,12.52426,323675,12.554,264500,12.920
12,Hatterene,12.43084,272388,10.565,216874,10.593
13,Kyurem,11.09925,218021,8.456,173988,8.499
14,Gliscor,10.93128,315543,12.239,264962,12.942
15,Cinderace,10.85906,250823,9.728,200528,9.795
16,Samurott-Hisui,10.80559,235254,9.125,208999,10.209
17,Pecharunt,10.10075,208520,8.088,169636,8.286
18,Iron Treads,9.94024,210938,8.181,175756,8.585
19,Alomomola,9.63356,216988,8.416,179777,8.781
20,Landorus-Therian,9.62864,220508,8.553,194230,9.487
21,Ting-Lu,9.46792,189920,7.366,166054,8.111
22,Darkrai,8.78185,194486,7.543,150685,7.360
23,Ceruledge,8.68613,232449,9.016,175477,8.571
24,Glimmora,8.55768,232358,9.012,204922,10.010
25,Rillaboom,8.03645,201316,7.808,163213,7.972
26,Iron Moth,8.00496,187467,7.271,142433,6.957
27,Walking Wake,7.39368,178506,6.924,145379,7.101
28,Zapdos,7.22291,172015,6.672,144775,7.072
29,Deoxys-Speed,6.54416,146242,5.672,125041,6.108
30,Garganacl,6.33836,177443,6.882,143385,7.004
31,Heatran,6.27613,154734,6.002,129849,6.343
32,Tyranitar,5.96984,157476,6.108,135597,6.623
33,Primarina,5.83088,142689,5.534,116893,5.710
34,Clefable,5.12517,136382,5.290,108400,5.295
35,Enamorus,4.98863,108773,4.219,84000,4.103
36,Tornadus-Therian,4.91489,101606,3.941,85677,4.185
37,Moltres,4.91190,103487,4.014,87302,4.264
38,Scizor,4.84212,127687,4.952,104014,5.081
39,Iron Crown,4.63795,93163,3.613,75669,3.696
40,Weezing-Galar,4.35920,101979,3.955,82155,4.013
41,Garchomp,4.17607,137384,5.329,112134,5.477
42,Pelipper,4.17040,111828,4.337,103896,5.075
43,Meowscarada,4.06257,117565,4.560,95733,4.676
44,Excadrill,3.92090,98411,3.817,78345,3.827
45,Dondozo,3.83018,103121,4.000,75025,3.665
46,Ogerpon,3.74265,73382,2.846,57793,2.823
47,Torkoal,3.69123,104320,4.046,95572,4.668
48,Ninetales,3.45860,80032,3.104,73520,3.591
49,Toxapex,3.07375,100177,3.885,81429,3.977
50,Clodsire,3.04818,87330,3.387,69828,3.411
51,Hoopa-Unbound,3.04577,66074,2.563,52213,2.550
52,Blissey,3.04208,78300,3.037,61744,3.016
53,Ursaluna,2.97615,76187,2.955,60840,2.972
54,Serperior,2.88192,88671,3.439,68431,3.343
55,Weavile,2.87404,70010,2.715,56139,2.742
56,Hydrapple,2.83860,66721,2.588,52276,2.553
57,Ribombee,2.67214,69738,2.705,64813,3.166
58,Ogerpon-Cornerstone,2.64119,53372,2.070,41888,2.046
59,Barraskewda,2.56635,59569,2.310,48096,2.349
60,Sinistcha,2.54396,56767,2.202,44222,2.160
61,Ninetales-Alola,2.49335,64105,2.486,56534,2.761
62,Blaziken,2.40602,87762,3.404,65254,3.187
63,Volcanion,2.38546,52927,2.053,44236,2.161
64,Araquanid,2.37800,54558,2.116,50373,2.461
65,Latios,2.29638,51796,2.009,40163,1.962
