Rank,Pokemon,USG%,Raw,Raw%,Real,Real%
1,Great Tusk,32.87335,521552,27.679,411202,27.578
2,Gholdengo,23.21055,380606,20.199,293483,19.683
3,Kingambit,22.71422,390707,20.735,261146,17.514
4,Dragonite,17.81153,300450,15.945,223514,14.990
5,Ogerpon-Wellspring,16.47881,254141,13.487,202167,13.559
6,Zamazenta,15.83911,229250,12.166,172285,11.555
7,Iron Valiant,15.05814,260810,13.841,189979,12.741
8,Raging Bolt,14.55519,220339,11.694,165115,11.074
9,Hatterene,13.33286,208377,11.059,164686,11.045
10,Dragapult,13.17329,258814,13.735,199854,13.404
11,Slowking-Galar,12.66339,198315,10.525,166543,11.170
12,Corviknight,12.20282,238793,12.673,192341,12.900
13,Gliscor,12.09367,252732,13.413,211327,14.173
14,Samurott-Hisui,11.58024,182521,9.687,161838,10.854
15,Kyurem,11.02078,158031,8.387,127500,8.551
16,Iron Treads,10.74159,158497,8.412,132311,8.874
17,Ting-Lu,10.54748,150299,7.976,131365,8.810
18,Cinderace,10.10688,172670,9.164,136726,9.170
19,Landorus-Therian,9.54795,156956,8.330,138244,9.272
20,Alomomola,9.30513,153182,8.129,126410,8.478
21,Ceruledge,8.79352,172326,9.145,131427,8.814
22,Darkrai,8.66642,138657,7.359,108288,7.263
23,Pecharunt,8.46660,130000,6.899,105140,7.051
24,Iron Moth,8.24627,139981,7.429,106450,7.139
25,Glimmora,7.75059,157126,8.339,139090,9.328
26,Walking Wake,7.71713,129519,6.874,105245,7.058
27,Rillaboom,7.22803,127580,6.771,104142,6.984
28,Zapdos,7.07604,118800,6.305,100501,6.740
29,Volcarona,6.69741,96138,5.102,74083,4.969
30,Garganacl,5.76304,119972,6.367,96365,6.463
31,Deoxys-Speed,5.71745,97507,5.175,82862,5.557
32,Heatran,5.59709,100380,5.327,83637,5.609
33,Primarina,5.25591,97955,5.199,79978,5.364
34,Tyranitar,5.08515,98803,5.244,84525,5.669
35,Clefable,5.04697,94262,5.003,74686,5.009
36,Weezing-Galar,4.97817,81911,4.347,65873,4.418
37,Tornadus-Therian,4.94177,71405,3.790,61151,4.101
38,Garchomp,4.93812,113828,6.041,93482,6.270
39,Moltres,4.64191,71368,3.788,59764,4.008
40,Pelipper,4.55274,88391,4.691,81918,5.494
41,Dondozo,4.55002,85934,4.561,61577,4.130
42,Ogerpon,4.49959,66031,3.504,52196,3.501
43,Iron Crown,4.26253,63926,3.393,50720,3.402
44,Enamorus,4.10125,66608,3.535,51254,3.437
45,Scizor,3.88144,81173,4.308,65184,4.372
46,Meowscarada,3.70874,84091,4.463,68009,4.561
47,Ninetales,3.65129,61194,3.248,56420,3.784
48,Regieleki,3.59471,75324,3.997,60050,4.027
49,Toxapex,3.36450,78731,4.178,63906,4.286
50,Clodsire,3.32745,67738,3.595,54229,3.637
51,Blissey,3.21323,59665,3.166,46773,3.137
52,Hydrapple,3.07137,48715,2.585,38336,2.571
53,Torkoal,3.02993,61967,3.289,56179,3.768
54,Excadrill,3.02310,57383,3.045,45041,3.021
55,Ursaluna,2.80072,54163,2.874,42957,2.881
56,Lokix,2.75731,47807,2.537,38713,2.596
57,Hoopa-Unbound,2.74031,44955,2.386,35594,2.387
58,Ribombee,2.62150,47131,2.501,43790,2.937
59,Barraskewda,2.50809,43651,2.317,35038,2.350
60,Blaziken,2.41736,66141,3.510,49324,3.308
61,Weavile,2.38692,48431,2.570,37966,2.546
62,Ogerpon-Cornerstone,2.32961,33635,1.785,26081,1.749
63,Rotom-Wash,2.28757,62132,3.297,52953,3.551
64,Skarmory,2.19259,39060,2.073,33710,2.261
65,Greninja,2.14032,62527,3.318,49359,3.310
66,Sinistcha,2.12776,36454,1.935,28008,1.878
67,Ninetales-Alola,2.12080,42310,2.245,37073,2.486
68,Volcanion,2.03455,32502,1.725,27402,1.838
69,Cresselia,2.03222,28940,1.536,22564,1.513
70,Iron Hands,1.95907,34666,1.840,26822,1.799
71,Araquanid,1.94547,33713,1.789,31203,2.093
72,Hawlucha,1.81057,32369,1.718,23801,1.596
73,Skeledirge,1.77697,41676,2.212,32164,2.157
74,Venusaur,1.73633,42312,2.246,33051,2.217
75,Tinkaton,1.70255,31720,1.683,27305,1.831
76,Latios,1.68061,29407,1.561,23039,1.545
77,Serperior,1.48201,41873,2.222,32215,2.161
78,Slither Wing,1.47545,24355,1.293,19717,1.322
79,Hydreigon,1.46947,31214,1.657,24394,1.636
80,Grimmsnarl,1.40648,39801,2.112,34763,2.331
81,Mandibuzz,1.35475,22048,1.170,17653,1.184
82,Keldeo,1.31128,20473,1.087,16500,1.107
83,Quaquaval,1.25040,33952,1.802,26849,1.801
84,Kommo-o,1.23262,27020,1.434,20282,1.360
85,Goodra-Hisui,1.21611,26963,1.431,21969,1.473
86,Manaphy,1.21461,20194,1.072,15692,1.052
87,Moltres-Galar,1.13528,21180,1.124,15706,1.053
88,Arcanine-Hisui,1.12551,25545,1.356,20012,1.342
89,Overqwil,1.08693,18398,0.976,14511,0.973
90,Latias,1.07555,19532,1.037,14722,0.987
91,Maushold,1.05215,27719,1.471,21229,1.424
92,Talonflame,0.89030,22261,1.181,17167,1.151
93,Iron Boulder,0.88435,15512,0.823,11139,0.747
94,Cloyster,0.84643,24733,1.313,19377,1.300
95,Indeedee,0.82068,15176,0.805,13185,0.884
96,Gengar,0.81626,31852,1.690,24216,1.624
97,Mimikyu,0.80638,26890,1.427,20451,1.372
98,Metagross,0.80071,27734,1.472,21621,1.450
99,Zoroark-Hisui,0.76510,28275,1.501,11688,0.784
100,Okidogi,0.76353,12842,0.682,10280,0.689
101,Polteageist,0.73418,18032,0.957,13437,0.901
102,Thundurus-Therian,0.72222,16272,0.864,12773,0.857
103,Slowking,0.71028,14523,0.771,11840,0.794
104,Conkeldurr,0.69630,15507,0.823,12569,0.843
105,Kingdra,0.68892,16251,0.862,12531,0.840
106,Umbreon,0.67257,21720,1.153,16468,1.104
107,Azumarill,0.67228,23011,1.221,18325,1.229
108,Gardevoir,0.66311,20241,1.074,14941,1.002
109,Porygon2,0.66170,15655,0.831,12777,0.857
110,Mamoswine,0.63926,15237,0.809,12323,0.826
111,Gallade,0.61868,15030,0.798,11527,0.773
112,Incineroar,0.60145,23793,1.263,19652,1.318
113,Amoonguss,0.59316,14020,0.744,10899,0.731
114,Crawdaunt,0.59153,12549,0.666,10068,0.675
115,Zarude,0.58642,10031,0.532,7978,0.535
116,Whimsicott,0.57948,15853,0.841,12647,0.848
117,Mew,0.57805,15458,0.820,12220,0.820
118,Magnezone,0.57598,13354,0.709,10534,0.706
119,Pawmot,0.56867,13204,0.701,9661,0.648
120,Toxicroak,0.55940,11159,0.592,8757,0.587
121,Armarouge,0.55624,14170,0.752,10680,0.716
122,Lilligant-Hisui,0.54932,14459,0.767,10907,0.731
123,Fezandipiti,0.53288,9569,0.508,8003,0.537
124,Ditto,0.53054,13537,0.718,9830,0.659
125,Kleavor,0.52519,13572,0.720,11772,0.790
126,Milotic,0.49779,18071,0.959,14062,0.943
127,Zapdos-Galar,0.49351,9645,0.512,7837,0.526
128,Comfey,0.48111,9721,0.516,7336,0.492
129,Salamence,0.48032,17403,0.924,12920,0.867
130,Haxorus,0.47328,17171,0.911,12481,0.837
131,Chesnaught,0.46347,9283,0.493,7598,0.510
132,Charizard,0.45799,20041,1.064,14985,1.005
133,Iron Jugulis,0.44002,7439,0.395,5861,0.393
134,Smeargle,0.42594,11777,0.625,8908,0.597
135,Gyarados,0.42572,19540,1.037,15402,1.033
136,Sandy Shocks,0.42106,10451,0.555,8226,0.552
137,Basculegion,0.41721,10700,0.568,8225,0.552
138,Tentacruel,0.40855,11094,0.589,9026,0.605
139,Jirachi,0.39892,12209,0.648,9746,0.654
140,Porygon-Z,0.38988,12733,0.676,9907,0.664
141,Espeon,0.38827,16804,0.892,12830,0.860
142,Regidrago,0.37857,8811,0.468,6496,0.436
143,Gastrodon,0.37509,12867,0.683,10484,0.703
144,Azelf,0.36654,6306,0.335,5421,0.364
145,Breloom,0.34992,12321,0.654,9331,0.626
146,Diancie,0.34502,7760,0.412,6100,0.409
147,Salazzle,0.34141,10512,0.558,8148,0.546
148,Empoleon,0.34135,11852,0.629,9570,0.642
149,Swampert,0.34102,15316,0.813,12598,0.845
150,Muk-Alola,0.34027,8906,0.473,7393,0.496
151,Pincurchin,0.33762,7745,0.411,7088,0.475
152,Galvantula,0.33240,15839,0.841,13579,0.911
153,Cramorant,0.32354,5879,0.312,5326,0.357
154,Hippowdon,0.32167,9633,0.511,8274,0.555
155,Jolteon,0.31946,10957,0.581,8358,0.561
156,Reuniclus,0.31290,9569,0.508,7051,0.473
157,Toxtricity,0.31191,11935,0.633,9134,0.613
158,Donphan,0.30875,8471,0.450,6829,0.458
159,Blastoise,0.29575,15146,0.804,11579,0.777
160,Infernape,0.29243,13080,0.694,9830,0.659
161,Klefki,0.28639,6953,0.369,6085,0.408
162,Lucario,0.28368,15690,0.833,11626,0.780
163,Forretress,0.28181,12598,0.669,10700,0.718
164,Krookodile,0.27563,11818,0.627,9289,0.623
165,Torterra,0.27555,9923,0.527,7401,0.496
166,Chansey,0.27216,7898,0.419,5942,0.399
167,Chandelure,0.26380,11996,0.637,8991,0.603
168,Cetitan,0.26254,6573,0.349,4960,0.333
169,Sylveon,0.25543,11639,0.618,8692,0.583
170,Snorlax,0.25514,13803,0.733,10540,0.707
171,Bronzong,0.25328,6141,0.326,5217,0.350
172,Typhlosion-Hisui,0.24726,7852,0.417,5776,0.387
173,Wo-Chien,0.24539,5882,0.312,4535,0.304
174,Deoxys-Defense,0.24310,8320,0.442,6312,0.423
